date,listed,otc,ratio,yoy
2016-07-29,8599668.0,2326261.0,27.050590790249114,
2016-08-12,8594689.0,2336653.0,27.187173381142703,
2016-08-26,8781386.0,2336318.0,26.605344532172943,
2016-09-09,8751560.0,2366770.0,27.043978444985804,
2016-09-23,8703834.0,2322013.0,26.678047857989938,
2016-10-07,8707580.0,2311371.0,26.544355607413312,
2016-10-21,8614270.0,2256592.0,26.195974818527862,
2016-11-04,8382328.0,2222211.0,26.51066624928063,
2016-11-18,8341993.0,2166663.0,25.972965932721355,
2016-12-02,8615682.0,2183470.0,25.342973429149314,
2016-12-16,8689994.0,2221885.0,25.568314546592326,
2016-12-30,8700164.0,2228191.0,25.610908024262528,
2017-01-13,8551838.0,2246519.0,26.269428864297943,
2017-02-10,8753247.0,2305294.0,26.33644406469965,
2017-02-24,8845939.0,2413366.0,27.282191297046023,
2017-03-10,8916648.0,2439895.0,27.363365695270243,
2017-03-24,8986238.0,2513618.0,27.97186097230009,
2017-04-07,8900762.0,2519185.0,28.303026190341907,
2017-04-21,8815713.0,2479285.0,28.123476796488273,
2017-05-05,8846739.0,2482451.0,28.060633415318343,
2017-05-19,8692116.0,2470938.0,28.4273472650388,
2017-06-02,8566530.0,2474472.0,28.885347976368497,
2017-06-16,8618236.0,2461617.0,28.562886883116217,5.590621308767263
2017-06-30,8725568.0,2459896.0,28.19181513455628,4.218851828990511
2017-07-14,8652348.0,2456867.0,28.395378919109586,4.971381731689295
2017-07-28,8672056.0,2499281.0,28.819936125873724,6.540875019492742
2017-08-11,8627407.0,2496939.0,28.94194049266483,6.454393352783239
2017-08-25,8681517.0,2511075.0,28.92438038190791,8.716428561677269
2017-09-08,9041406.0,2540597.0,28.0995787602061,3.903273023855025
2017-09-22,9135070.0,2539261.0,27.796842279260037,4.193689235530118
2017-10-06,9075341.0,2534256.0,27.924636661035656,5.199904168089353
2017-10-20,9069980.0,2529045.0,27.883688828420787,6.442646328623125
2017-11-03,9107295.0,2549401.0,27.99295509808346,5.591292330659758
2017-11-17,9126219.0,2551899.0,27.96228098405265,7.659175530758744
2017-12-01,9460225.0,2558934.0,27.049398930786527,6.733327904114406
2017-12-15,9451477.0,2527416.0,26.740963343612854,4.586335931074559
2017-12-29,9527551.0,2564565.0,26.917357881369515,5.101146182983118
2018-01-12,9546614.0,2569771.0,26.91814081935229,2.469455877421045
2018-01-26,9434411.0,2564706.0,27.18459053776648,3.483751695539561
2018-02-09,8663275.0,2360628.0,27.248679050359133,3.4637743175139235
2018-02-23,8778556.0,2364022.0,26.929508680015257,-1.2927210032023795
2018-03-09,8969484.0,2392324.0,26.67181300507365,-2.527293966312516
2018-03-23,9040460.0,2398252.0,26.527986407771287,-5.161882385868566
2018-04-20,9209729.0,2415805.0,26.231010706178214,-6.729132759810009
2018-05-04,9069767.0,2347853.0,25.88658562011571,-7.747678974401973
2018-05-18,9170959.0,2349580.0,25.619785237290888,-9.876271611177645
2018-06-01,9305955.0,2410706.0,25.90498234732491,-10.31791492171693
2018-06-15,9467458.0,2454570.0,25.926389110994734,-9.230501744835673
2018-06-29,9299085.0,2440188.0,26.241162436949445,-6.919216404820316
2018-07-13,9056198.0,2396155.0,26.45873025302671,-6.820295202257521
2018-07-27,9009432.0,2399309.0,26.63107951755449,-7.594939137821822
2018-08-10,8979918.0,2371101.0,26.40448387167901,-8.767403214131154
2018-08-24,8809196.0,2247749.0,25.515938117394594,-11.783976768073767
2018-09-07,8653213.0,2229652.0,25.766752765706798,-8.301996319613835
2018-09-21,8302658.0,2127559.0,25.62503477801928,-7.813144670972938
2018-10-05,8159854.0,2087667.0,25.58461217565903,-8.37978489668858
2018-10-19,7367898.0,1874106.0,25.43610131410614,-8.777846895995756
2018-11-02,7177654.0,1789994.0,24.938426956774457,-10.911774518289896
2018-11-16,7208129.0,1786294.0,24.781659706700587,-11.374684630220344
2018-11-30,7338177.0,1774071.0,24.175909084776777,-10.623119032561057
2018-12-14,7422939.0,1797995.0,24.22214435549046,-9.419327777224673
2018-12-28,7353907.0,1797876.0,24.447902319134577,-9.174212317265129
2019-01-11,7238540.0,1799266.0,24.85675288110586,-7.6579877937351215
2019-01-25,7032123.0,1796618.0,25.548728314336937,-6.0176084725532375
2019-02-22,7104296.0,1824477.0,25.681320147696553,-4.635021556278895
2019-03-08,7081796.0,1824780.0,25.767192390178987,-3.391672754763908
2019-03-22,7298311.0,1866683.0,25.576917727951027,-3.585152167982286
2019-04-19,7483245.0,1919132.0,25.64571920336699,-2.2312960387506853
2019-05-03,7478714.0,1915787.0,25.61652979375866,-1.0432269064762245
