date,open,high,low,close,volume
2024-01-02,234.01,234.01,233.23,233.23,0.0
2024-01-03,233.23000000000002,233.23000000000002,231.05,231.05,0.0
2024-01-04,231.05,231.05,229.44,229.44,0.0
2024-01-05,229.44000000000003,230.61,229.44000000000003,230.61,0.0
2024-01-08,230.61,230.61,230.56,230.56,0.0
2024-01-09,230.56,230.56,229.48,229.48,0.0
2024-01-10,229.48,229.48,229.41,229.41,0.0
2024-01-11,229.41,231.71,229.41,231.71,0.0
2024-01-12,231.71,231.71,230.47,230.47,0.0
2024-01-15,230.47,233.01,230.47,233.01,0.0
2024-01-16,233.01000000000002,233.01000000000002,232.18,232.18,0.0
2024-01-17,232.18,232.18,228.57,228.57,0.0
2024-01-18,228.57,228.57,228.16,228.16,0.0
2024-01-19,228.16,230.19,228.16,230.19,0.0
2024-01-22,230.19,232.95,230.19,232.95,0.0
2024-01-23,232.95,234.6,232.95,234.6,0.0
2024-01-24,234.6,235.07,234.6,235.07,0.0
2024-01-25,235.07000000000002,235.07000000000002,234.3,234.3,0.0
2024-01-26,234.29999999999998,234.29999999999998,234.23,234.23,0.0
2024-01-29,234.23,236.1,234.23,236.1,0.0
2024-01-30,236.10000000000002,236.61,236.10000000000002,236.61,0.0
2024-01-31,236.61,237.08,236.61,237.08,0.0
2024-02-01,237.07999999999998,237.35,237.07999999999998,237.35,0.0
2024-02-02,237.35,239.12,237.35,239.12,0.0
2024-02-05,239.11999999999998,239.11999999999998,238.67,238.67,0.0
2024-02-15,238.67,242.51,238.67,242.51,0.0
2024-02-16,242.51000000000002,244.11,242.51000000000002,244.11,0.0
2024-02-19,244.11,245.11,244.11,245.11,0.0
2024-02-20,245.10999999999999,245.47,245.10999999999999,245.47,0.0
2024-02-21,245.47,245.47,245.44,245.44,0.0
2024-02-22,245.44,247.04,245.44,247.04,0.0
2024-02-23,247.04000000000002,247.04000000000002,246.58,246.58,0.0
2024-02-26,246.58,247.97,246.58,247.97,0.0
2024-02-27,247.97,247.97,246.65,246.65,0.0
2024-02-29,246.64999999999998,249.45,246.64999999999998,249.45,0.0
2024-03-01,249.45000000000002,251.37,249.45000000000002,251.37,0.0
2024-03-04,251.37,252.74,251.37,252.74,0.0
2024-03-05,252.73999999999998,253.1,252.73999999999998,253.1,0.0
2024-03-06,253.1,253.89,253.1,253.89,0.0
2024-03-07,253.89000000000001,253.89000000000001,252.9,252.9,0.0
2024-03-08,252.9,252.9,247.43,247.43,0.0
2024-03-11,247.43,248.63,247.43,248.63,0.0
2024-03-12,248.63,252.09,248.63,252.09,0.0
2024-03-13,252.09,252.09,249.21,249.21,0.0
2024-03-14,249.21,249.21,247.96,247.96,0.0
2024-03-15,247.96,247.96,246.37,246.37,0.0
2024-03-18,246.37,249.63,246.37,249.63,0.0
2024-03-19,249.63,251.01,249.63,251.01,0.0
2024-03-20,251.01,251.01,250.56,250.56,0.0
2024-03-21,250.56,252.21,250.56,252.21,0.0
2024-03-22,252.20999999999998,252.20999999999998,251.17,251.17,0.0
2024-03-25,251.17000000000002,252.27,251.17000000000002,252.27,0.0
2024-03-26,252.27,252.27,248.49,248.49,0.0
2024-03-27,248.49,250.94,248.49,250.94,0.0
2024-03-28,250.94000000000003,250.94000000000003,250.58,250.58,0.0
2024-03-29,250.58,252.11,250.58,252.11,0.0
2024-04-01,252.11,254.03,252.11,254.03,0.0
2024-04-02,254.03,254.79,254.03,254.79,0.0
2024-04-03,254.79,254.92,254.79,254.92,0.0
2024-04-08,254.92000000000002,255.93,254.92000000000002,255.93,0.0
2024-04-09,255.93,255.93,254.93,254.93,0.0
2024-04-10,254.93,255.93,254.93,255.93,0.0
2024-04-11,255.93,255.93,254.66,254.66,0.0
2024-04-12,254.66,256.43,254.66,256.43,0.0
2024-04-15,256.43,256.43,252.5,252.5,0.0
2024-04-16,252.5,252.5,245.52,245.52,0.0
2024-04-17,245.52,250.33,245.52,250.33,0.0
2024-04-18,250.33,250.68,250.33,250.68,0.0
2024-04-19,250.67999999999998,250.67999999999998,242.42,242.42,0.0
2024-04-22,242.42,242.42,236.73,236.73,0.0
