date,value
2002-07-30,36.690311431884766
2002-07-31,36.91468811035156
2002-08-01,37.27663803100586
2002-08-02,37.352657318115234
2002-08-05,37.26214599609375
2002-08-06,37.13547897338867
2002-08-07,37.24046325683594
2002-08-08,37.131874084472656
2002-08-09,37.28028869628906
2002-08-12,37.33091354370117
2002-08-13,37.638587951660156
2002-08-14,37.6530647277832
2002-08-15,37.54084396362305
2002-08-16,37.35987854003906
2002-08-19,37.56983947753906
2002-08-20,37.9715576171875
2002-08-21,38.022239685058594
2002-08-22,37.96796417236328
2002-08-23,38.076507568359375
2002-08-26,38.11637496948242
2002-08-27,38.022239685058594
2002-08-28,38.094642639160156
2002-08-29,38.235809326171875
2002-08-30,38.257476806640625
2002-09-03,38.439056396484375
2002-09-04,38.580997467041016
2002-09-05,38.69009017944336
2002-09-06,38.42815017700195
2002-09-09,38.4536247253418
2002-09-10,38.61735916137695
2002-09-11,38.5663948059082
2002-09-12,38.76652526855469
2002-09-13,38.83202362060547
2002-09-16,38.98482894897461
2002-09-17,39.01393127441406
2002-09-18,38.966617584228516
2002-09-19,38.966617584228516
2002-09-20,38.98482894897461
2002-09-23,38.86473846435547
2002-09-24,38.857479095458984
2002-09-25,38.77743148803711
2002-09-26,38.82106399536133
2002-09-27,39.13033676147461
2002-09-30,39.05756378173828
2002-10-01,39.030906677246094
2002-10-02,39.01997375488281
2002-10-03,39.001670837402344
2002-10-04,38.91032409667969
2002-10-07,38.727657318115234
2002-10-08,38.365970611572266
2002-10-09,38.22346496582031
2002-10-10,38.216182708740234
2002-10-11,38.32575225830078
2002-10-14,38.395179748535156
2002-10-15,37.94215774536133
2002-10-16,37.85081100463867
2002-10-17,37.565818786621094
2002-10-18,37.66450500488281
2002-10-21,37.44163131713867
2002-10-22,37.595069885253906
2002-10-23,37.66814041137695
2002-10-24,37.810630798339844
2002-10-25,38.06999969482422
2002-10-28,38.17597198486328
2002-10-29,38.398826599121094
2002-10-30,38.40613555908203
